alg_name,ins,ins_set,mean,median,min,fr,nr
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000334,MSE23-w,564.3,564.5,563,1.0,10
ecdf-multi-4,generalized-ising-IS9_5.0.5.0.0.5_softer_periodic,MSE23-w,110225935053247.1,110201897245176.5,110071479199737,1.0,10
ecdf-multi-4,timetabling-comp12,MSE23-w,,,,0.0,10
ecdf-multi-4,setcover-rail4284,MSE23-w,,,,0.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276410793.8,276408436.5,276337804,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-hsqldb,MSE23-w,,,,0.0,10
ecdf-multi-4,generalized-ising-IS17_5.0.5.0.0.5_softer_periodic,MSE23-w,115930143438746.1,115933870811373.5,115909234727236,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,MSE23-w,286199.7,285895.5,284910,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1,MSE23-w,101471.1,103078.5,94260,1.0,10
ecdf-multi-4,staff-scheduling-instance11,MSE23-w,18591.7,18502.0,16480,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7,MSE23-w,236081.5,221658.0,174675,1.0,10
ecdf-multi-4,spot5-1506.wcsp.log,MSE23-w,355649.2,355551.5,355546,1.0,10
ecdf-multi-4,generalized-ising-IS3_5.0.5.0.0.5_softer_periodic,MSE23-w,117084044072931.2,117084880940282.0,116980985558568,1.0,10
ecdf-multi-4,timetabling-comp09,MSE23-w,620.3,616.5,559,1.0,10
ecdf-multi-4,staff-scheduling-instance10,MSE23-w,,,,0.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,MSE23-w,119424737.71428572,119423325.0,119422383,0.7,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,MSE23-w,18174607.9,18387754.5,14956446,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-xalan,MSE23-w,,,,0.0,10
ecdf-multi-4,causal-discovery-causal_carpo_8_1000,MSE23-w,4495027.1,4594492.0,3601179,1.0,10
ecdf-multi-4,decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,,,,0.0,10
ecdf-multi-4,railway-transport-wg2,MSE23-w,333.4,309.0,230,0.5,10
ecdf-multi-4,ramsey-ram_k3_n16.ra1,MSE23-w,7271.0,7271.0,7271,1.0,10
ecdf-multi-4,abstraction-refinement-downcast-antlr,MSE23-w,,,,0.0,10
ecdf-multi-4,hs-timetabling-FinlandSecondarySchool.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-rgg_n_2_24_s0,MSE23-w,54558121.2,54554648.5,54514898,1.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-channel-500x100x100-b050,MSE23-w,33356154.9,33348199.0,33336431,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-avrora,MSE23-w,98466.2,98468.0,98450,1.0,10
ecdf-multi-4,staff-scheduling-instance4,MSE23-w,2940.7,2965.5,2788,1.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150,MSE23-w,,,,0.0,10
ecdf-multi-4,spot5-1403.wcsp.log,MSE23-w,459855.6,459260.0,459254,1.0,10
ecdf-multi-4,generalized-ising-IS23_5.0.5.0.0.5_softer_periodic,MSE23-w,119086399626957.0,119079646424455.5,118933469103069,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-2_inst-025_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,,,,0.0,10
ecdf-multi-4,causal-discovery-causal_Water_10_1000,MSE23-w,45193159.0,45193159.0,45193159,0.9,10
ecdf-multi-4,max-realizability-power-distribution_12_8,MSE23-w,216.0,216.0,216,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,85526669.5,82274054.0,67841554,1.0,10
ecdf-multi-4,spot5-1403.wcsp.dir,MSE23-w,464858.8,465258.0,463255,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200,MSE23-w,71884627.5,72103505.0,70905446,1.0,10
ecdf-multi-4,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3,MSE23-w,,,,0.0,10
ecdf-multi-4,abstraction-refinement-downcast-avrora,MSE23-w,46709.5,46705.5,46700,1.0,10
ecdf-multi-4,staff-scheduling-instance9,MSE23-w,8136.25,8357.0,6541,0.4,10
ecdf-multi-4,generalized-ising-IS5_5.0.5.0.0.5_softer_periodic,MSE23-w,115357355084294.6,115274150003146.5,115000760257760,1.0,10
ecdf-multi-4,max-realizability-robot-navigation_10,MSE23-w,,,,0.0,10
ecdf-multi-4,relational-inference-pa-1,MSE23-w,3057.8,3079.5,2686,1.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-sc-rel9,MSE23-w,15655183.9,15654523.0,15616889,1.0,10
ecdf-multi-4,abstraction-refinement-downcast-pmd,MSE23-w,4290.2,4290.5,4288,1.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70,MSE23-w,,,,0.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.8_1,MSE23-w,353736.3,353620.0,352068,1.0,10
ecdf-multi-4,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2,MSE23-w,430.0,430.0,430,0.1,10
ecdf-multi-4,generalized-ising-IS13_5.0.5.0.0.5_softer_periodic,MSE23-w,119555903912428.6,119490993578269.0,119401387482250,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-3_inst-003_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,hs-timetabling-BrazilInstance5.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-web-wikipedia2009,MSE23-w,36474850.8,36507969.5,36337039,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein2_UNARY_N220,MSE23-w,66743573.7,66676434.5,63296129,1.0,10
ecdf-multi-4,drmx-cryptogen-geffe128_7,MSE23-w,860.3,860.0,857,1.0,10
ecdf-multi-4,MaxSATQueriesinInterpretableClassifiers-credit_train_8_CNF_5_20,MSE23-w,98574.2,98600.0,98200,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-bloat,MSE23-w,11996.222222222223,319.0,173,0.9,10
ecdf-multi-4,relational-inference-pa-2,MSE23-w,1032.1,1004.0,830,1.0,10
ecdf-multi-4,judgment-aggregation-ja-kemeny-preflib-00049-00000451,MSE23-w,970.4,970.0,964,1.0,10
ecdf-multi-4,abstraction-refinement-polysite-pmd,MSE23-w,,,,0.0,10
ecdf-multi-4,staff-scheduling-instance6,MSE23-w,5739.7,5783.5,5314,1.0,10
ecdf-multi-4,causal-discovery-causal_alarm_9_1000,MSE23-w,57974705.0,57974705.0,57974705,0.4,10
ecdf-multi-4,generalized-ising-IS20_5.0.5.0.0.5_softer_periodic,MSE23-w,119487903912428.6,119450993578269.0,119401387482250,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N800_D0.200,MSE23-w,83468718.9,83374681.0,83235282,1.0,10
ecdf-multi-4,generalized-ising-IS16_5.0.5.0.0.5_softer_periodic,MSE23-w,115476937206261.4,115478093918580.0,115463045360969,1.0,10
ecdf-multi-4,generalized-ising-IS11_5.0.5.0.0.5_softer_periodic,MSE23-w,112202049992330.0,112163604414250.5,111946740359051,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-1_inst-084_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,setcover-rail507,MSE23-w,230.3,230.5,224,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_2,MSE23-w,277832.9,277845.5,277562,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_domino_multiple_0.1_8,MSE23-w,64044.8,60190.0,54224,1.0,10
ecdf-multi-4,hs-timetabling-BrazilInstance4.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,hs-timetabling-BrazilInstance6.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68,MSE23-w,,,,0.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200,MSE23-w,,,,0.0,10
ecdf-multi-4,metro-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted,MSE23-w,330.0,330.0,330,0.1,10
ecdf-multi-4,causal-discovery-causal_Link_10_1000,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-hugebubbles-00020,MSE23-w,588529764.2222222,588539482.0,588404048,0.9,10
ecdf-multi-4,ramsey-ram_k3_n19.ra1,MSE23-w,21025.0,21025.0,21025,1.0,10
ecdf-multi-4,MaxSATQueriesinInterpretableClassifiers-pima_train_6_CNF_3_20,MSE23-w,2884.8,2875.5,2855,1.0,10
ecdf-multi-4,spot5-1401.wcsp.log,MSE23-w,459807.8,460107.0,459107,1.0,10
ecdf-multi-4,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_3,MSE23-w,,,,0.0,10
ecdf-multi-4,timetabling-dds4,MSE23-w,,,,0.0,10
ecdf-multi-4,hs-timetabling-BrazilInstance2.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,railway-transport-f2030,MSE23-w,5270.666666666667,5114.0,4964,0.3,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein3_UNARY_N220,MSE23-w,66121748.8,69554626.0,54123775,1.0,10
ecdf-multi-4,staff-scheduling-instance3,MSE23-w,2434.5,2429.0,2326,1.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_4,MSE23-w,,,,0.0,10
ecdf-multi-4,hs-timetabling-BrazilInstance1.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,generalized-ising-IS6_5.0.5.0.0.5_softer_periodic,MSE23-w,114173375207906.0,114054354066752.5,113850721878124,1.0,10
ecdf-multi-4,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,MSE23-w,,,,0.0,10
ecdf-multi-4,generalized-ising-IS7_5.0.5.0.0.5_softer_periodic,MSE23-w,113131861282056.7,112876447500633.0,112720619119146,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N240,MSE23-w,16274762.9,16297957.0,16137791,1.0,10
ecdf-multi-4,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_6,MSE23-w,,,,0.0,10
ecdf-multi-4,generalized-ising-IS4_5.0.5.0.0.5_softer_periodic,MSE23-w,116330001615541.8,116218492829935.5,115998912694376,1.0,10
ecdf-multi-4,staff-scheduling-instance2,MSE23-w,1549.0,1541.0,1533,1.0,10
ecdf-multi-4,max-realizability-power-distribution_11_7,MSE23-w,126.0,126.0,126,1.0,10
ecdf-multi-4,hs-timetabling-ItalyInstance4.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_4,MSE23-w,316140.5,355741.5,202152,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N220,MSE23-w,13961632.4,13964626.5,13867070,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_domino_multiple_0.6_8,MSE23-w,320356.0,320625.5,310294,1.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,,,,0.0,10
ecdf-multi-4,spot5-5.wcsp.log,MSE23-w,267.9,268.0,266,1.0,10
ecdf-multi-4,hs-timetabling-BrazilInstance7.xml,MSE23-w,,,,0.0,10
ecdf-multi-4,railway-transport-r11,MSE23-w,,,,0.0,10
ecdf-multi-4,staff-scheduling-instance8,MSE23-w,12341.6,12226.0,11104,0.5,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_domino_multiple_0.2_0,MSE23-w,103801.5,102253.0,92453,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.7_6,MSE23-w,253080.2,252926.5,252833,1.0,10
ecdf-multi-4,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_72,MSE23-w,,,,0.0,10
ecdf-multi-4,MinimumWeightDominatingSetProblem-soc-livejournal-user-groups,MSE23-w,,,,,0
ecdf-multi-4,setcover-rail4872,MSE23-w,,,,0.0,10
ecdf-multi-4,staff-scheduling-instance7,MSE23-w,5605.2,5611.5,5284,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-4_inst-003_60m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,ramsey-ram_k3_n14.ra1,MSE23-w,3025.0,3025.0,3025,1.0,10
ecdf-multi-4,abstraction-refinement-downcast-xalan,MSE23-w,65540.2,65539.5,65527,1.0,10
ecdf-multi-4,causal-discovery-causal_Link_10_10000,MSE23-w,,,,0.0,10
ecdf-multi-4,abstraction-refinement-downcast-hsqldb,MSE23-w,,,,0.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein3_TRANSITIVE_N280,MSE23-w,21500410.3,21598784.5,20189591,1.0,10
ecdf-multi-4,generalized-ising-IS15_5.0.5.0.0.5_softer_periodic,MSE23-w,114805286504900.2,114862212005243.5,114658059944605,1.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Protein2_BINARY_N380,MSE23-w,38734843.4,38671657.5,38551457,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_domino_multiple_0.5_1,MSE23-w,270583.9,271322.0,255547,1.0,10
ecdf-multi-4,shiftdesign-limits-10-10_data-2_inst-030_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-4,correlation-clustering-Rounded_CorrelationClustering_Ionosphere_BINARY_N260_D0.200,MSE23-w,6979193.8,6960352.0,6898582,1.0,10
ecdf-multi-4,staff-scheduling-instance12,MSE23-w,,,,0.0,10
ecdf-multi-4,generalized-ising-IS22_5.0.5.0.0.5_softer_periodic,MSE23-w,119438531016734.1,119430993578269.0,119349441011891,1.0,10
ecdf-multi-4,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_7,MSE23-w,285302.8,340255.0,179051,1.0,10
ecdf-multi-4,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,MSE23-w,93.0,93.0,93,0.3,10
ecdf-multi-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80,MSE23-w,,,,0.0,10
ecdf-multi-5,MaxSATQueriesinInterpretableClassifiers-toms_test_2_CNF_3_20,MSE23-w,537.2,540.0,502,1.0,10
ecdf-multi-5,railway-transport-bf2030fvslack,MSE23-w,,,,0.0,10
ecdf-multi-5,setcover-rail2536,MSE23-w,,,,0.0,10
ecdf-multi-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66,MSE23-w,,,,0.0,10
ecdf-multi-5,judgment-aggregation-ja-kemeny-preflib-00049-00000454,MSE23-w,665.6,664.5,662,1.0,10
ecdf-multi-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6,MSE23-w,,,,0.0,10
ecdf-multi-5,judgment-aggregation-ja-kemeny-preflib-00051-00000011,MSE23-w,747.1,748.0,737,1.0,10
ecdf-multi-5,pseudoBoolean-normalized-mps-v2-20-10-sentoy.opb.msat,MSE23-w,,,,0.0,10
ecdf-multi-5,mpe-random-net-50-5_network-8.net,MSE23-w,49079.7,49075.0,48168,1.0,10
ecdf-multi-5,causal-discovery-causal_Mushroom_7_1000,MSE23-w,225570.1,231050.5,208734,1.0,10
ecdf-multi-5,shiftdesign-limits-10-10_data-2_inst-003_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-5,relational-inference-pa-3,MSE23-w,1806.8,1840.0,1554,1.0,10
ecdf-multi-5,ramsey-ram_k4_n19.ra1,MSE23-w,1773.9,1785.0,1594,1.0,10
ecdf-multi-5,causal-discovery-causal_Link_9_100,MSE23-w,3242187.0,3242187.0,3242187,0.5,10
ecdf-multi-5,tcp-tcp_students_112_it_2,MSE23-w,3999.6666666666665,3996.0,3957,0.9,10
ecdf-multi-5,decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,,,,0.0,10
ecdf-multi-5,decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2,MSE23-w,,,,0.0,10
ecdf-multi-5,judgment-aggregation-ja-kemeny-preflib-00049-00000300,MSE23-w,813.7,814.0,811,1.0,10
ecdf-multi-5,staff-scheduling-instance5,MSE23-w,3424.1,3462.0,3188,1.0,10
ecdf-multi-5,shiftdesign-limits-10-10_data-1_inst-182_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-5,shiftdesign-limits-10-10_data-1_inst-137_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-5,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_4,MSE23-w,,,,0.0,10
ecdf-multi-5,decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2,MSE23-w,,,,0.0,10
ecdf-multi-5,timetabling-comp02,MSE23-w,,,,0.0,10
ecdf-multi-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.5_5,MSE23-w,260686.6,269646.0,190160,1.0,10
ecdf-multi-5,generalized-ising-IS12_5.0.5.0.0.5_softer_periodic,MSE23-w,113263056671238.2,113277248077116.0,113143108868738,1.0,10
ecdf-multi-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_BINARY_N320,MSE23-w,15281324.2,15264659.5,14784749,1.0,10
ecdf-multi-5,MinimumWeightDominatingSetProblem-inf-road-usa,MSE23-w,759733707.0,759755814.5,759599040,1.0,10
ecdf-multi-5,causal-discovery-causal_Pigs_6_1000,MSE23-w,99078090.2,35110976.0,35110976,1.0,10
ecdf-multi-5,spot5-1405.wcsp.dir,MSE23-w,464042.4,463942.0,461447,1.0,10
ecdf-multi-5,judgment-aggregation-ja-kemeny-preflib-00049-00000334,MSE23-w,566.0,566.5,560,1.0,10
ecdf-multi-5,generalized-ising-IS9_5.0.5.0.0.5_softer_periodic,MSE23-w,110371888299858.6,110247317309199.0,110108810054992,1.0,10
ecdf-multi-5,timetabling-comp12,MSE23-w,,,,0.0,10
ecdf-multi-5,setcover-rail4284,MSE23-w,,,,0.0,10
ecdf-multi-5,shiftdesign-limits-10-10_data-3_inst-002_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-5,MinimumWeightDominatingSetProblem-delaunay_n24,MSE23-w,276410793.8,276408436.5,276337804,1.0,10
ecdf-multi-5,abstraction-refinement-polysite-hsqldb,MSE23-w,,,,0.0,10
ecdf-multi-5,generalized-ising-IS17_5.0.5.0.0.5_softer_periodic,MSE23-w,115933186683885.7,115935204965003.0,115904240715413,1.0,10
ecdf-multi-5,ParametricRBACMaintenance_mse20-role_smallcomp_multiple_0.9_6,MSE23-w,296912.2,296979.5,294339,1.0,10
ecdf-multi-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.1_1,MSE23-w,93363.7,93494.0,89883,1.0,10
ecdf-multi-5,staff-scheduling-instance11,MSE23-w,,,,0.0,10
ecdf-multi-5,ParametricRBACMaintenance_mse20-role_university_multiple_0.4_7,MSE23-w,236697.5,243726.0,179093,1.0,10
ecdf-multi-5,spot5-1506.wcsp.log,MSE23-w,355035.7,355036.0,354532,1.0,10
ecdf-multi-5,generalized-ising-IS3_5.0.5.0.0.5_softer_periodic,MSE23-w,116985439654395.1,116994638625231.5,116867457929711,1.0,10
ecdf-multi-5,timetabling-comp09,MSE23-w,567.6,568.5,524,1.0,10
ecdf-multi-5,staff-scheduling-instance10,MSE23-w,,,,0.0,10
ecdf-multi-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100,MSE23-w,,,,0.0,10
ecdf-multi-5,MinimumWeightDominatingSetProblem-bn-human-BNU_1_0025865_session_1-bg,MSE23-w,119427265.625,119428007.5,119422704,0.8,10
ecdf-multi-5,correlation-clustering-Rounded_CorrelationClustering_Protein4_UNARY_N250,MSE23-w,18032520.6,18347198.5,14703933,1.0,10
ecdf-multi-5,abstraction-refinement-polysite-xalan,MSE23-w,,,,0.0,10
ecdf-multi-5,causal-discovery-causal_carpo_8_1000,MSE23-w,4590738.9,4594492.0,4558316,1.0,10
ecdf-multi-5,decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5,MSE23-w,,,,0.0,10
ecdf-multi-5,railway-transport-wg2,MSE23-w,,,,0.0,10
ecdf-multi-5,ramsey-ram_k3_n16.ra1,MSE23-w,8167.7,8263.0,7685,1.0,10
ecdf-multi-5,abstraction-refinement-downcast-antlr,MSE23-w,,,,0.0,10
ecdf-multi-5,hs-timetabling-FinlandSecondarySchool.xml,MSE23-w,,,,0.0,10
ecdf-multi-5,MinimumWeightDominatingSetProblem-rgg_n_2_24_s0,MSE23-w,54558112.9,54554648.5,54514882,1.0,10
ecdf-multi-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90,MSE23-w,,,,0.0,10
ecdf-multi-5,MinimumWeightDominatingSetProblem-channel-500x100x100-b050,MSE23-w,33356136.0,33348141.5,33336431,1.0,10
ecdf-multi-5,abstraction-refinement-polysite-avrora,MSE23-w,,,,0.0,10
ecdf-multi-5,staff-scheduling-instance4,MSE23-w,2465.7,2439.5,2225,1.0,10
ecdf-multi-5,switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150,MSE23-w,,,,0.0,10
ecdf-multi-5,spot5-1403.wcsp.log,MSE23-w,459250.3,459250.5,459248,1.0,10
ecdf-multi-5,generalized-ising-IS23_5.0.5.0.0.5_softer_periodic,MSE23-w,119210460880601.2,119239533035091.0,119011993867269,1.0,10
ecdf-multi-5,shiftdesign-limits-10-10_data-2_inst-025_30m.sm-extracted,MSE23-w,,,,0.0,10
ecdf-multi-5,decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4,MSE23-w,,,,0.0,10
ecdf-multi-5,causal-discovery-causal_Water_10_1000,MSE23-w,45193159.0,45193159.0,45193159,0.8,10
ecdf-multi-5,max-realizability-power-distribution_12_8,MSE23-w,216.0,216.0,216,1.0,10
ecdf-multi-5,correlation-clustering-Rounded_CorrelationClustering_Protein1_UNARY_N290,MSE23-w,87862214.0,87170397.0,76972215,0.9,10
ecdf-multi-5,spot5-1403.wcsp.dir,MSE23-w,463955.5,464254.0,461263,1.0,10
ecdf-multi-5,correlation-clustering-Rounded_CorrelationClustering_Vowel_BINARY_N700_D0.200,MSE23-w,71849429.7,71902700.0,70515059,1.0,10
